Weights:
0.23314256164336022, 0.07408645923475499
0.09532799542567238, 0.5837901324804103
0.2566815957391133, 0.5416572809324672
0.6393394512815954, 0.294286531452037
0.7513654517644976, 0.9944729653183639
0.6064952673598065, 0.8001832836494068
0.7658736963132379, 0.43685870586571296
0.2893416596980837, 0.02539333265570265
Bias:
0.09134270820338863, 0.7032625320946309
parameter ends

Rollout 0: 
state | action | reward
[ 0.03 -0.08  0.03 -0.07 -0.02 -0.04 -0.03  0.04] | [0.01 0.6 ] | -0.07536294815219244
[ 0.03 -0.1   0.06 -0.08 -0.35  0.23 -0.85  1.38] | [-0.32  0.16] | -0.09030097270940547
[ 0.05 -0.15  0.13 -0.1  -0.78  0.66 -1.65  1.98] | [-0.82 -0.25] | -0.09546787694140488
[ 0.09 -0.24  0.22 -0.09 -1.43  1.38 -2.69  2.16] | [-1.59 -0.78] | -0.0414999891891861
[ 0.16 -0.35  0.28  0.01 -1.82  1.88 -3.1   1.35] | [-2.03 -0.95] | 0.09560157932182661
[ 0.24 -0.48  0.32  0.18 -1.96  2.15 -3.08  0.23] | [-2.16 -0.9 ] | 0.27710429452710966
[ 0.33 -0.6   0.31  0.37 -2.    2.31 -3.   -0.6 ] | [-2.14 -0.81] | 0.46096308180725565
[ 0.42 -0.72  0.27  0.55 -1.97  2.4  -2.93 -1.08] | [-2.04 -0.73] | 0.6297876973687911
[ 0.52 -0.83  0.23  0.71 -1.91  2.44 -2.89 -1.3 ] | [-1.9  -0.66] | 0.7809043139932426
[ 0.62 -0.95  0.17  0.85 -1.82  2.45 -2.86 -1.34] | [-1.73 -0.6 ] | 0.9162010061390762
[ 0.72 -1.06  0.12  0.98 -1.73  2.44 -2.84 -1.3 ] | [-1.55 -0.55] | 1.0373555393405733
[ 0.81 -1.18  0.07  1.09 -1.62  2.43 -2.84 -1.2 ] | [-1.37 -0.5 ] | 1.1449671512717023
[ 0.91 -1.29  0.03  1.19 -1.51  2.41 -2.83 -1.06] | [-1.19 -0.45] | 1.2389358725389596
[ 1.01 -1.4  -0.01  1.28 -1.39  2.39 -2.83 -0.91] | [-1.01 -0.4 ] | 1.318882415006312
[ 1.1  -1.52 -0.05  1.35 -1.27  2.37 -2.83 -0.73] | [-0.84 -0.35] | 1.3628959235037423
[ 1.19 -1.63 -0.07  1.37 -1.11  2.26 -2.7  -0.65] | [-0.64 -0.28] | 1.3540628620411386
[ 1.28 -1.73 -0.1   1.34 -0.94  2.1  -2.48 -0.63] | [-0.45 -0.22] | 0.8102380319332461
[ 1.33 -1.77 -0.17  0.38 -0.21  0.38  0.36 -2.68] | [-0.   -0.03] | 0.3349003682318091
[ 1.34 -1.75 -0.27  0.31 -0.17  0.29  0.32 -2.18] | [ 0.03 -0.13] | 0.29529115439212
[ 1.35 -1.74 -0.35  0.28 -0.13  0.24  0.33 -2.  ] | [ 0.05 -0.16] | 0.2552488475742457
[ 1.36 -1.72 -0.43  0.23 -0.08  0.18  0.41 -1.95] | [ 0.08 -0.17] | 0.2037530756128723
[ 1.36 -1.7  -0.51  0.17 -0.03  0.11  0.53 -1.96] | [ 0.11 -0.18] | 0.13909844449225925
[ 1.37 -1.68 -0.59  0.1   0.03  0.01  0.67 -1.99] | [ 0.13 -0.18] | 0.06105821640503108
[ 1.36 -1.65 -0.67  0.02  0.09 -0.1   0.83 -2.05] | [ 0.14 -0.19] | -0.029505887492771832
[ 1.36 -1.61 -0.75 -0.08  0.16 -0.22  1.01 -2.11] | [ 0.16 -0.2 ] | -0.1302405999367272
[ 1.35 -1.57 -0.84 -0.18  0.23 -0.35  1.19 -2.18] | [ 0.17 -0.21] | -0.23806213352140598
[ 1.33 -1.52 -0.93 -0.29  0.31 -0.48  1.39 -2.25] | [ 0.18 -0.21] | -0.34966315878325105
[ 1.31 -1.46 -1.02 -0.41  0.39 -0.62  1.58 -2.31] | [ 0.19 -0.2 ] | -0.4620919884403603
[ 1.28 -1.39 -1.11 -0.52  0.47 -0.76  1.77 -2.36] | [ 0.21 -0.19] | -0.5731449809400664
[ 1.25 -1.32 -1.21 -0.63  0.56 -0.89  1.96 -2.39] | [ 0.24 -0.17] | -0.6816949144435509
[ 1.21 -1.23 -1.3  -0.73  0.66 -1.03  2.15 -2.41] | [ 0.28 -0.14] | -0.7879586993219981
[ 1.16 -1.14 -1.4  -0.84  0.78 -1.18  2.36 -2.41] | [ 0.34 -0.08] | -0.8937177853015603
[ 1.11 -1.04 -1.49 -0.95  0.91 -1.34  2.59 -2.39] | [ 0.43 -0.01] | -1.0024194393730708
[ 1.06 -0.94 -1.59 -1.06  1.07 -1.52  2.86 -2.35] | [0.56 0.1 ] | -1.1184399958127518
[ 0.99 -0.81 -1.68 -1.17  1.27 -1.75  3.21 -2.29] | [0.75 0.25] | -1.152806078885668
[ 0.92 -0.68 -1.76 -0.74  1.03 -1.45  2.51 -0.55] | [0.97 0.15] | -0.619318562977259
[ 0.86 -0.59 -1.76 -0.67  1.15 -1.62  2.63  0.28] | [1.33 0.27] | -0.7830647834556362
[ 0.79 -0.47 -1.75 -0.88  1.59 -2.1   3.39  0.09] | [1.77 0.67] | -0.9121023986799573
